Load Port,Eqp Type (Abrv) in Shipment,ETD,Dsch Port,ETA Dsch Port,Final Dest,ETA Final Dest,Msr (Per Eqp),Unit of Measure,Wgt (Per Eqp),Unit of Measure,PO No.,Item Class,Shipped Qty,PkgCode,Shipped Dtl Qty,PkgCode,Item Shipped Wgt,Unit of Measure,Item Shipped Msr,Unit of Measure
BANGLADESH - CHITTAGONG,,06/25/2018,,07/22/2018,,,,,,,,F-Sweatshirts,,,,,,,31.3948826888,
BANGLADESH - CHITTAGONG,,06/25/2018,,07/22/2018,,,,,,,,F-Sweatshirts,,,,,,,20.9299217926,
BANGLADESH - CHITTAGONG,,06/23/2017,,07/20/2017,,,,,,,,F-Sweatshirts,,,,,,,52.3248044814,
BANGLADESH - CHITTAGONG,,06/23/2017,,07/20/2017,,,,,,,,M-Tops,,,,,,,48.8364841826,
CHINA - SHANGHAI,,06/23/2017,,07/22/2017,,,,,,,,M-Tops,,,,,,,20.9299217926,
UNKNOWN,,08/28/2017,,,,,,,,,,F-Sweatshirts,,,,,,,4.1859843585,
BANGLADESH - CHITTAGONG,,08/28/2017,,09/24/2017,,,,,,,,F-Sweatshirts,,,,,,,2.790656239,
BANGLADESH - CHITTAGONG,,08/28/2017,,09/24/2017,,,,,,,,F-Sweatshirts,,,,,,,2.790656239,
UNKNOWN,,08/28/2017,,,,,,,,,,F-Sweatshirts,,,,,,,2.790656239,
UNKNOWN,,08/28/2017,,,,,,,,,,F-Sweatshirts,,,,,,,2.790656239,
UNKNOWN,,08/28/2017,,,,,,,,,,F-Sweatshirts,,,,,,,2.790656239,
UNKNOWN,,08/28/2017,,,,,,,,,,F-Sweatshirts,,,,,,,2.790656239,
UNKNOWN,,08/28/2017,,,,,,,,,,F-Sweatshirts,,,,,,,4.1859843585,
BANGLADESH - CHITTAGONG,,08/21/2017,,09/17/2017,,,,,,,,M-Tops,,,,,,,12.5579530755,
BANGLADESH - CHITTAGONG,,08/28/2017,,09/24/2017,,,,,,,,M-Tops,,,,,,,11.162624956,
CHINA - SHANGHAI,,08/28/2017,,09/26/2017,,,,,,,,D-Jackets,,,,,,,4.1859843585,
CHINA - SHANGHAI,,08/28/2017,,09/26/2017,,,,,,,,D-Jackets,,,,,,,4.1859843585,
CHINA - SHANGHAI,,08/28/2017,,09/26/2017,,,,,,,,D-Jackets,,,,,,,4.1859843585,
VIETNAM - HAI PHONG,,08/31/2017,,10/01/2017,,,,,,,,D-Jackets,,,,,,,1.3953281195,
VIETNAM - HAI PHONG,,08/31/2017,,10/01/2017,,,,,,,,D-Jackets,,,,,,,1.3953281195,
VIETNAM - HAI PHONG,,08/31/2017,,10/01/2017,,,,,,,,D-Jackets,,,,,,,1.3953281195,
VIETNAM - HAI PHONG,,08/31/2017,,10/01/2017,,,,,,,,D-Jackets,,,,,,,1.3953281195,
VIETNAM - HAI PHONG,,08/31/2017,,10/01/2017,,,,,,,,D-Jackets,,,,,,,1.3953281195,
VIETNAM - HAI PHONG,,08/31/2017,,10/01/2017,,,,,,,,D-Jackets,,,,,,,1.3953281195,
BANGLADESH - CHITTAGONG,,08/31/2017,,09/27/2017,,,,,,,,M-Tops,,,,,,,4.1859843585,
CHINA - SHANGHAI,,08/31/2017,,09/29/2017,,,,,,,,M-Tops,,,,,,,2.0929921793,
BANGLADESH - CHITTAGONG,,08/31/2017,,09/27/2017,,,,,,,,M-Tops,,,,,,,2.790656239,
BANGLADESH - CHITTAGONG,,08/31/2017,,09/27/2017,,,,,,,,M-Tops,,,,,,,2.790656239,
